Year,State,City,Domestic Visitors,Foreign Visitors,Total Visitors,Revenue,Revenue Unit
2020,Kerala,Munnar,887564.0,59273.0,946837.0,186.45,Crores
2021,Kerala,Thiruvananthapuram,1145150.0,100038.0,1245188.0,203.17,Crores
2017,Kerala,Kochi,2044335.0,202942.0,2247277.0,491.25,Crores
2020,Andhra Pradesh,Vijayawada,864570.0,74534.0,939104.0,167.72,Crores
2018,Telangana,Khammam,451184.0,45820.0,497004.0,65.56,Crores
2019,Kerala,Kochi,2413631.0,122640.0,2536271.0,425.03,Crores
2019,Telangana,Nizamabad,760820.0,77630.0,838450.0,129.04,Crores
2019,Andhra Pradesh,Tirupati,719879.0,73748.0,793627.0,169.44,Crores
2018,Kerala,Kozhikode,535993.0,56014.0,592007.0,78.77,Crores
2019,Karnataka,Bengaluru,3039970.0,183980.0,3223950.0,451.17,Crores
2019,Andhra Pradesh,Vijayawada,880475.0,59659.0,940134.0,127.11,Crores
2022,Andhra Pradesh,Tirupati,748055.0,72060.0,820115.0,155.23,Crores
2019,Tamil Nadu,Ooty,1128168.0,114835.0,1243003.0,271.68,Crores
2017,Tamil Nadu,Coimbatore,1712780.0,123992.0,1836772.0,386.35,Crores
2017,Andhra Pradesh,Kurnool,368847.0,20584.0,389431.0,76.49,Crores
2021,Kerala,Munnar,1013181.0,76757.0,1089938.0,236.67,Crores
2020,Kerala,Kochi,2512404.0,138959.0,2651363.0,554.87,Crores
2018,Kerala,Alappuzha,653729.0,68733.0,722462.0,105.66,Crores
2017,Telangana,Warangal,903610.0,57618.0,961228.0,155.73,Crores
2018,Kerala,Kochi,2275514.0,204791.0,2480305.0,512.0,Crores
2021,Tamil Nadu,Madurai,1653482.0,122330.0,1775812.0,274.59,Crores
2022,Karnataka,Mangaluru,1233661.0,63899.0,1297560.0,243.01,Crores
2022,Tamil Nadu,Coimbatore,2022711.0,156613.0,2179324.0,404.56,Crores
2017,Telangana,Khammam,470667.0,27755.0,498422.0,66.19,Crores
2019,Kerala,Thiruvananthapuram,1161718.0,123615.0,1285333.0,221.16,Crores
2017,Tamil Nadu,Madurai,1408386.0,94669.0,1503055.0,230.49,Crores
2020,Telangana,Hyderabad,2309755.0,207214.0,2516969.0,342.57,Crores
2020,Andhra Pradesh,Visakhapatnam,1895713.0,206210.0,2101923.0,392.77,Crores
2020,Tamil Nadu,Coimbatore,1905716.0,117933.0,2023649.0,394.83,Crores
2021,Andhra Pradesh,Tirupati,742582.0,39078.0,781660.0,110.42,Crores
2019,Karnataka,Hampi,893911.0,65081.0,958992.0,157.84,Crores
2020,Telangana,Nizamabad,844285.0,56974.0,901259.0,167.53,Crores
2022,Tamil Nadu,Thanjavur,1037747.0,48938.0,1086685.0,148.95,Crores
2021,Kerala,Kozhikode,626435.0,62587.0,689022.0,136.77,Crores
2022,Telangana,Warangal,1082637.0,50875.0,1133512.0,173.64,Crores
2018,Telangana,Nizamabad,792297.0,52068.0,844365.0,157.33,Crores
2021,Telangana,Khammam,564377.0,26850.0,591227.0,102.43,Crores
